name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,generation_count
79b3_data_processor,79b317b9,qw32_c393_dp_batch,success,431.0,15963,13533,2430,0.0,0,0,F,dp,qw32,10
347f_data_processor,347f40cb,qw32_c393_dp_batch,success,397.4,13674,11403,2271,0.0,0,0,F,dp,qw32,9
19fd_data_processor,19fd644d,qw32_c393_dp_batch,success,601.92,19606,16170,3436,0.0,0,0,F,dp,qw32,11
ee9f_data_processor,ee9fa7e5,qw32_c393_dp_batch,success,385.26,13670,11478,2192,0.0,0,0,F,dp,qw32,9
f8df_data_processor,f8dfb385,qw32_c393_dp_batch,success,392.66,13871,11640,2231,0.0,0,0,F,dp,qw32,9
6889_data_processor,6889c33b,qw32_c393_dp_batch,success,425.2,14225,11791,2434,0.0,0,0,F,dp,qw32,9
7a64_data_processor,7a644559,qw32_c393_dp_batch,failure,448.59,17126,14611,2515,0.0,0,0,F,dp,qw32,10
81d4_data_processor,81d4bf15,qw32_c393_dp_batch,failure,637.23,23101,19499,3602,0.0,0,0,F,dp,qw32,13
9c8b_data_processor,9c8b0736,qw32_c393_dp_batch,success,425.84,13901,11456,2445,0.0,0,0,F,dp,qw32,9
e6d9_data_processor,e6d98b3f,qw32_c393_dp_batch,success,460.21,14273,11618,2655,0.0,0,0,F,dp,qw32,9
36ba_data_processor,36babb0a,qw32_c393_dp_batch,success,572.3,21458,18254,3204,0.0,0,0,F,dp,qw32,12
9824_data_processor,982449b1,qw32_c393_dp_batch,success,519.82,14589,11556,3033,0.0,0,0,F,dp,qw32,9
a071_data_processor,a071b974,qw32_c393_dp_batch,failure,694.99,22388,18412,3976,0.0,0,0,F,dp,qw32,12
097c_data_processor,097cfdc4,qw32_c393_dp_batch,success,455.81,18516,15986,2530,0.0,0,0,F,dp,qw32,11
e438_data_processor,e4380762,qw32_c393_dp_batch,failure,573.69,19663,16401,3262,0.0,0,0,F,dp,qw32,11
890a_data_processor,890aee1a,qw32_c393_dp_batch,failure,685.98,22487,18549,3938,0.0,0,0,F,dp,qw32,12
0aba_data_processor,0abac0b9,qw32_c393_dp_batch,success,405.49,13855,11540,2315,0.0,0,0,F,dp,qw32,9
0227_data_processor,0227036c,qw32_c393_dp_batch,success,737.26,24695,20511,4184,0.0,0,0,F,dp,qw32,13
03df_data_processor,03df3141,qw32_c393_dp_batch,success,413.18,13863,11498,2365,0.0,0,0,F,dp,qw32,9
0108_model_converter,0108c223,qw32_00e9_mc_batch,success,125.87,3875,3250,625,0.0,0,0,F,mc,qw32,2
d78a_model_converter,d78a6baf,qw32_00e9_mc_batch,success,52.81,761,432,329,0.0,0,0,F,mc,qw32,1
3e25_model_converter,3e251f42,qw32_00e9_mc_batch,success,111.33,3850,3231,619,0.0,0,0,F,mc,qw32,2
