metric,processor,processor_label,model,model_label,prompt_type,prompt_type_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,abla-1p,Prompt L1-P,success,12,1025.0,1803.75,2061.5,2063.0,3098.0,1975.0833333333333,259.25,2061.0,2066.0,5
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,abla-1p,Prompt L1-P,failure,18,4025.0,4025.0,4025.0,4025.0,5182.0,4092.3888888888887,0.0,4025.0,4025.0,2
total_tokens,psg,PyCPU-SG,qwen32,Qw32B,abla-2p,Prompt L2-P,success,30,2738.0,2761.5,2765.0,2789.75,2823.0,2772.133333333333,28.25,2738.0,2823.0,0
total_tokens,tpusg,PyTPU-SG,gpt-5,G5,abla-l1,Prompt L1,success,60,5819.0,6934.0,7688.5,8321.0,20886.0,8593.233333333334,1387.0,5819.0,9782.0,6
total_tokens,tpusg,PyTPU-SG,gpt-5,G5,abla-l2,Prompt L2,success,60,5122.0,6600.0,7890.0,9528.0,20929.0,8829.066666666668,2928.0,5122.0,10278.0,8
total_tokens,tpusg,PyTPU-SG,gpt-5,G5,original,Prompt Original,success,54,8212.0,8786.5,9417.0,10434.75,40813.0,11095.555555555555,1648.25,8212.0,11268.0,4
total_tokens,tpusg,PyTPU-SG,gpt-5,G5,original,Prompt Original,failure,6,47849.0,47927.75,48164.0,53457.5,55222.0,50411.666666666664,5529.75,47849.0,55222.0,0
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,abla-l1,Prompt L1,success,24,976.0,1877.75,2865.5,3499.75,5125.0,2897.0,1622.0,976.0,5125.0,0
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,abla-l1,Prompt L1,failure,36,4112.0,4632.0,4736.5,4964.0,5236.0,4760.388888888889,332.0,4394.0,5236.0,2
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,abla-l2,Prompt L2,success,54,1327.0,2811.25,4342.0,5878.0,8232.0,4466.333333333333,3066.75,1327.0,8232.0,0
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,abla-l2,Prompt L2,failure,6,7443.0,7449.25,7468.0,7545.25,7571.0,7494.0,96.0,7443.0,7571.0,0
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,original,Prompt Original,success,60,2525.0,2735.0,2834.5,5824.0,12308.0,4298.133333333333,3089.0,2525.0,9098.0,2
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,abla-1p,Prompt L1-P,failure,30,5050.0,5111.75,5127.5,5148.25,5200.0,5129.433333333333,36.5,5085.0,5200.0,2
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,success,24,2630.0,4255.0,7052.5,7111.75,7262.0,6019.833333333333,2856.75,2630.0,7262.0,0
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,failure,6,7063.0,7167.0,7168.5,7194.75,7262.0,7172.0,27.75,7167.0,7203.0,2
total_tokens,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,success,48,797.0,1774.0,2554.5,3599.5,4737.0,2611.4583333333335,1825.5,797.0,4737.0,0
total_tokens,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,failure,12,4213.0,4310.0,4518.0,5109.0,5281.0,4658.166666666667,799.0,4213.0,5281.0,0
total_tokens,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,success,36,1446.0,2906.0,4378.0,4576.0,7966.0,4039.3888888888887,1670.0,1446.0,6381.0,2
total_tokens,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,failure,24,7462.0,7725.0,7986.0,8237.5,8761.0,8030.666666666667,512.5,7462.0,8761.0,0
total_tokens,tpusg,PyTPU-SG,qwen32,Qw32B,original,Prompt Original,success,60,2618.0,2636.0,2693.0,5813.0,14870.0,4823.9,3177.0,2618.0,9002.0,4
total_tokens,tpusg,PyTPU-SG,qwen32,Qw32B,abla-1p,Prompt L1-P,failure,30,4260.0,4260.0,4260.0,4260.0,4260.0,4260.0,0.0,4260.0,4260.0,0
total_tokens,tpusg,PyTPU-SG,qwen32,Qw32B,abla-2p,Prompt L2-P,success,30,4353.0,4371.75,4413.5,4423.75,4487.0,4406.533333333334,52.0,4353.0,4487.0,0
