name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model,prompt_type
6bab_tpusg,6babe18e,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.86,4433,1746,2687,0.0,0,0,T,tpusg,qwen32,abla-2p
8d16_tpusg,8d169bcd,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.94,4362,1747,2615,0.0,0,0,T,tpusg,qwen32,abla-2p
34fb_tpusg,34fb40e7,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.79,4356,1747,2609,0.0,0,0,T,tpusg,qwen32,abla-2p
2f4e_tpusg,2f4efae1,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.25,4410,1746,2664,0.0,0,0,T,tpusg,qwen32,abla-2p
1ff8_tpusg,1ff805f9,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.22,4406,1744,2662,0.0,0,0,T,tpusg,qwen32,abla-2p
c33d_tpusg,c33d2dfe,qwen2.5-coder:32b_12d3_tpusg_batch,success,70.1,4369,1748,2621,0.0,0,0,T,tpusg,qwen32,abla-2p
9b43_tpusg,9b43ed10,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.77,4356,1747,2609,0.0,0,0,T,tpusg,qwen32,abla-2p
26c6_tpusg,26c62127,qwen2.5-coder:32b_12d3_tpusg_batch,success,70.79,4393,1747,2646,0.0,0,0,T,tpusg,qwen32,abla-2p
8b7c_tpusg,8b7c6b37,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.21,4407,1745,2662,0.0,0,0,T,tpusg,qwen32,abla-2p
e538_tpusg,e538f202,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.97,4359,1743,2616,0.0,0,0,T,tpusg,qwen32,abla-2p
61b5_tpusg,61b58e3a,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.52,4418,1744,2674,0.0,0,0,T,tpusg,qwen32,abla-2p
fb24_tpusg,fb249eee,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.66,4461,1744,2717,0.0,0,0,T,tpusg,qwen32,abla-2p
3716_tpusg,3716c0fa,qwen2.5-coder:32b_12d3_tpusg_batch,success,69.79,4356,1746,2610,0.0,0,0,T,tpusg,qwen32,abla-2p
b2be_tpusg,b2bec059,qwen2.5-coder:32b_12d3_tpusg_batch,success,72.55,4425,1746,2679,0.0,0,0,T,tpusg,qwen32,abla-2p
bf02_tpusg,bf0274fe,qwen2.5-coder:32b_12d3_tpusg_batch,success,71.67,4426,1747,2679,0.0,0,0,T,tpusg,qwen32,abla-2p
c64a_psg,c64a2f0c,phi4_2a34_psg_batch,failure,87.39,6933,2864,4069,0.0,0,0,T,psg,phi4,abla-2p
1908_psg,19084c52,phi4_2a34_psg_batch,failure,89.12,7028,2864,4164,0.0,0,0,T,psg,phi4,abla-2p
eaee_psg,eaee274b,phi4_2a34_psg_batch,success,53.97,4135,1606,2529,0.0,0,0,T,psg,phi4,abla-2p
b92b_psg,b92b3fb2,phi4_2a34_psg_batch,success,89.47,7068,2868,4200,0.0,0,0,T,psg,phi4,abla-2p
9f40_psg,9f40da0d,phi4_2a34_psg_batch,failure,85.86,6891,2864,4027,0.0,0,0,T,psg,phi4,abla-2p
bb84_psg,bb842270,phi4_2a34_psg_batch,success,90.94,7110,2868,4242,0.0,0,0,T,psg,phi4,abla-2p
729a_psg,729a3228,phi4_2a34_psg_batch,success,52.25,4042,1606,2436,0.0,0,0,T,psg,phi4,abla-2p
3807_psg,3807b812,phi4_2a34_psg_batch,failure,85.19,6846,2864,3982,0.0,0,0,T,psg,phi4,abla-2p
1113_psg,11139d51,phi4_2a34_psg_batch,success,50.94,3984,1606,2378,0.0,0,0,T,psg,phi4,abla-2p
44aa_psg,44aaf0a9,phi4_2a34_psg_batch,failure,86.03,6894,2864,4030,0.0,0,0,T,psg,phi4,abla-2p
